COMMAND     PID USER   FD   TYPE DEVICE SIZE/OFF NODE NAME
chromium-  1794 mark  104u  IPv4  66733      0t0  UDP 224.0.0.251:mdns 
chromium-  1794 mark  161u  IPv4  66735      0t0  UDP 224.0.0.251:mdns 
chromium-  1828 mark   30u  IPv4 101212      0t0  TCP localhost:48758->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   31u  IPv4  65145      0t0  UDP 224.0.0.251:mdns 
chromium-  1828 mark   36u  IPv4 103495      0t0  TCP localhost:48830->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   37u  IPv4 102561      0t0  TCP localhost:48806->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   38u  IPv4 102266      0t0  TCP localhost:48812->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   42u  IPv4 110747      0t0  TCP localhost:49028->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   43u  IPv4 103583      0t0  TCP localhost:48842->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   44u  IPv4 102269      0t0  TCP localhost:48816->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   46u  IPv4 104244      0t0  TCP localhost:48868->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   47u  IPv4 101989      0t0  TCP localhost:48788->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   48u  IPv4 104352      0t0  TCP localhost:48878->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   49u  IPv4 111308      0t0  TCP localhost:49052->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   50u  IPv4 104313      0t0  TCP localhost:48872->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   51u  IPv4 105488      0t0  TCP localhost:48896->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   52u  IPv4 104392      0t0  TCP localhost:48882->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   54u  IPv4  96373      0t0  TCP localhost:48450->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   55u  IPv4  99410      0t0  TCP localhost:48662->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   56u  IPv4 105484      0t0  TCP localhost:48892->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   60u  IPv4 107051      0t0  TCP localhost:48964->localhost:8888 (ESTABLISHED)
chromium-  1828 mark   61u  IPv4  97938      0t0  TCP localhost:48618->localhost:8888 (ESTABLISHED)
